Date,Price
1/1/2007,26139.5
2/1/2007,25612.7
3/1/2007,21945.5
4/1/2007,17240
5/1/2007,21235.6
6/1/2007,18680
7/1/2007,14940.5
8/1/2007,13720.8
9/1/2007,16648
10/1/2007,16705.9
11/1/2007,14617.6
12/1/2007,13696.4
1/1/2008,12099.5
2/1/2008,8660
3/1/2008,5896.2
4/1/2008,5029.3
5/1/2008,3818.5
6/1/2008,3104.5
7/1/2008,4228.2
8/1/2008,7636
9/1/2008,5774.4
10/1/2008,4701.5
11/1/2008,4838.4
12/1/2008,4790.5
1/1/2009,4838.4
2/1/2009,4110.2
3/1/2009,4301.9
4/1/2009,5317.4
5/1/2009,6323.5
6/1/2009,6803.9
7/1/2009,7435.7
8/1/2009,8650.7
9/1/2009,8407.7
10/1/2009,8359.1
11/1/2009,7727.3
12/1/2009,7842.1
1/1/2010,7643.5
2/1/2010,7742.8
3/1/2010,8288.7
4/1/2010,8735.4
5/1/2010,8603.1
6/1/2010,9132.5
7/1/2010,10191.4
8/1/2010,10062.6
9/1/2010,9526
10/1/2010,10263.9
11/1/2010,9391.8
12/1/2010,8653.9
1/1/2011,8452.6
2/1/2011,7245.1
3/1/2011,6842.6
4/1/2011,6842.6
5/1/2011,6137.4
6/1/2011,6503.2
7/1/2011,7790.3
8/1/2011,7519.4
9/1/2011,7115.6
10/1/2011,6839.2
11/1/2011,6784
12/1/2011,6866.9
1/1/2012,6866.9
2/1/2012,7599.2
3/1/2012,8013.7
4/1/2012,8220.9
5/1/2012,8667.2
6/1/2012,8263.7
7/1/2012,8351.4
8/1/2012,7206.7
9/1/2012,6733
10/1/2012,6360
11/1/2012,5809.2
12/1/2012,6450
1/1/2013,7347.9
2/1/2013,6779.9
3/1/2013,6926.5
4/1/2013,6816.5
5/1/2013,8154.2
6/1/2013,7659.4
7/1/2013,7879.3
8/1/2013,8165.6
9/1/2013,8544.6
10/1/2013,8677.2
11/1/2013,9112.9
12/1/2013,8923.5
1/1/2014,10514.9
2/1/2014,12125.3
3/1/2014,13262.1
4/1/2014,12977.9
5/1/2014,11199.7
6/1/2014,11296.6
7/1/2014,12242
8/1/2014,14207
9/1/2014,12848.1
10/1/2014,12601
11/1/2014,11884.5
12/1/2014,11859.8
1/1/2015,11736.2
2/1/2015,12057.4
3/1/2015,11958.6
4/1/2015,12724.6
5/1/2015,13034.6
6/1/2015,13440.1
7/1/2015,13700.8
8/1/2015,13083.6
9/1/2015,13172.4
10/1/2015,14593.3
11/1/2015,14297.3
12/1/2015,14297.3
1/1/2016,13734.9
2/1/2016,14149.3
3/1/2016,13942.1
4/1/2016,14386.1
5/1/2016,14187.5
6/1/2016,14535.2
7/1/2016,14257
8/1/2016,15634.2
9/1/2016,16613.5
10/1/2016,15491.7
11/1/2016,15438.3
12/1/2016,15669.8
1/1/2017,16061.5
2/1/2017,16328.6
3/1/2017,16845
4/1/2017,16542.3
5/1/2017,17976.9
6/1/2017,19586.4
7/1/2017,20213.5
8/1/2017,20702.2
9/1/2017,20808.9
10/1/2017,21513.2
11/1/2017,24928
12/1/2017,24373.1
1/1/2018,26848.8
2/1/2018,25525.6
3/1/2018,25909.8
4/1/2018,24330.4
5/1/2018,23164.3
6/1/2018,20898.2
7/1/2018,21552.9
8/1/2018,22777.9
9/1/2018,23860.1
10/1/2018,21618.4
11/1/2018,22108
12/1/2018,21747.2
1/1/2019,22262.6
2/1/2019,22777.9
3/1/2019,23447.9
4/1/2019,25535
5/1/2019,25465.3
6/1/2019,26273.7
7/1/2019,27948.3
8/1/2019,31249.7
9/1/2019,33956.8
10/1/2019,34074.5
11/1/2019,33191.8
12/1/2019,34309.9
1/1/2020,30602.3
2/1/2020,32426.7
3/1/2020,24187.6
4/1/2020,29896.1
5/1/2020,32978.9
6/1/2020,31397
7/1/2020,30606.1
8/1/2020,34772.4
9/1/2020,35123.7
10/1/2020,36177.4
11/1/2020,38917
12/1/2020,41516.2
1/1/2021,44045.1
2/1/2021,53528.4
3/1/2021,54582.2
4/1/2021,56830.1
5/1/2021,68772.1
6/1/2021,71727.4
7/1/2021,76617.9
8/1/2021,76114.9
9/1/2021,76609.2
10/1/2021,79821.8
11/1/2021,79986.6
12/1/2021,76609.2
1/1/2022,73726
2/1/2022,76856.3
3/1/2022,88141.7
4/1/2022,86494.2
5/1/2022,90530.6
6/1/2022,85209.2
7/1/2022,82540.3
8/1/2022,86600
9/1/2022,80500
10/1/2022,75600
11/1/2022,74600
12/1/2022,76900
1/1/2023,83500
2/1/2023,80500
3/1/2023,79100
4/1/2023,77500
5/1/2023,84100
6/1/2023,86000
7/1/2023,85600
8/1/2023,96700
9/1/2023,92800
10/1/2023,83000
11/1/2023,92400
